InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,TotalPrice,PaymentMethod,StoreID,ProductCategory,EmployeeID,PromotionCode
AYMWIX,UYSLN,YFBJFHRSDSAVURTWVEEO,901,09/21/2023 18:15,22.14,13907.0,Belgium,0.07,87.74,Cash,Store_B,Category_B,KNJGP,UIJBY
,ZKWLI,WHHOIJOBWODSCJYXZIGT,554,05/04/2023 03:39,91.92,18618.0,France,0.23,267.6,Cash,Store_C,Category_C,XSLEW,DIOBG
IWBDDI,RYDZV,NVUAVAMVRHUFNAWHDKIA,453,08/14/2023 07:23,56.71,14019.0,Belgium,0.36,12.01,Online,Store_A,Category_C,RXMLK,PZOES
XBKQEX,JSNCQ,SZBITLRBOSAUCUJIXAVC,921,12/24/2023 07:01,72.41,18747.0,Germany,0.44,50.63,Online,Store_A,Category_C,WEWOM,UUZXR
HYPOCH,,IQVZYEOAOLDLMWYYJWAP,900,06/27/2023 04:19,10.78,12864.0,France,0.13,29.61,Online,Store_A,Category_A,DLMPG,RUPVV
ULUCQN,,MIIRULERBQLGPSEWIZFJ,438,10/23/2023 03:03,39.06,11703.0,Netherlands,0.46,211.86,Credit Card,Store_C,Category_B,NKHZN,TUJYG
PZEVJF,YRGEB,ITYIYSPUENFXGAPEDMLK,716,07/21/2023 02:37,96.02,14861.0,France,0.22,143.87,Online,Store_B,Category_A,LCGGT,RACYG
CJTXNU,,CELTFYAFBOHRFGQNFVHW,405,01/21/2023 09:36,41.84,18185.0,Belgium,0.41,97.62,Cash,Store_B,Category_C,YLDJP,JPVMK
YSQTET,RRLGF,,990,05/15/2023 18:33,29.61,12523.0,Netherlands,0.32,238.13,Cash,Store_B,Category_B,HMVOH,ZZWGK
XQAMOC,ARATE,YVBVKLQPXTNJXJRXUSJJ,700,09/26/2023 13:03,40.08,13824.0,France,0.24,331.79,Cash,Store_B,Category_B,YYJLR,KQOSG
WAKZCM,MXUDF,VJNDOSVOUSGJDNUZLEZV,333,10/14/2023 04:15,5.33,18065.0,Belgium,0.18,292.97,Credit Card,Store_A,Category_A,LWNOK,FEDLH
IOQNGU,WYBUD,GTNGYPRBGKIIGCBWZYNL,852,01/05/2023 14:03,43.13,15904.0,Germany,0.17,59.83,Online,Store_B,Category_B,YROZH,LQLKC
DYMFDY,LRODI,QSNFNRFKZVTIEUNVCNZE,345,06/08/2023 12:40,30.65,16089.0,Germany,0.16,338.23,Cash,Store_C,Category_C,KNEBY,CWPAA
TVRLSM,SWPPZ,CITJEIQHHDCRHAGBMAVV,490,12/16/2023 20:52,55.05,10973.0,Belgium,0.38,224.43,Credit Card,Store_B,Category_C,QOJWK,KBKGP
MDUQTP,ZKZHL,CSTDQFBTESKPWGYVHVSW,171,03/08/2023 00:28,49.7,,United Kingdom,0.01,413.08,Cash,Store_A,Category_B,WFLTV,VJPMY
LETYZV,DMDMM,XOYBMZDTWMPSYOUMQUJN,928,09/22/2023 20:36,64.82,17579.0,United Kingdom,0.4,465.84,Credit Card,Store_C,Category_C,XRDJX,TSQHE
ZBXDKT,CXLVS,,142,08/11/2023 12:50,69.49,17639.0,France,0.43,325.56,Credit Card,Store_C,Category_B,RGTKR,SBOUH
FSNPHH,KRYPH,GRBHAZWELUREQBJGOTKV,212,11/19/2023 16:03,51.31,16649.0,Netherlands,0.25,44.06,Online,Store_C,Category_C,GRUQS,
ZKOSHQ,QOQHP,DAKXGZFQFBBKUFJJCWUH,461,01/12/2023 02:28,19.66,18834.0,United Kingdom,0.19,470.16,Online,Store_C,Category_C,,PRGLC
JBWMND,MKUIV,MJKJPBKLFNXJOANNGBLC,773,03/02/2023 06:53,49.53,18641.0,United Kingdom,0.24,449.83,Credit Card,Store_B,Category_B,VUFEW,WSGTL
FHPNTL,YSZDZ,DBIHMIMGUTIUSSKZSQMC,356,03/18/2023 17:15,69.71,,Belgium,0.02,405.16,Cash,Store_C,Category_C,OFFUY,JMKLJ
,DIIHJ,MNVXKWBAEFBIMWJFRAFQ,341,07/29/2023 04:19,21.83,18714.0,United Kingdom,0.23,292.38,Credit Card,Store_A,Category_C,YUZKN,YUHGR
IJLETT,QUXDO,HJJZQVKVMUDXKFRBRJOV,0,02/27/2023 15:35,95.15,,Netherlands,0.37,124.49,Cash,Store_B,Category_A,YQORA,HSNUJ
PFCXLB,UAQZP,,501,01/16/2023 01:24,53.86,,France,0.21,188.57,Credit Card,Store_C,Category_A,MQCAX,
TEHPEX,NRTZR,EIRCFIFAQYXQIDYUELUX,128,06/07/2023 00:12,37.04,,Netherlands,0.32,234.39,Online,Store_C,Category_A,QSVHH,WYAVO
HBJLKY,IEGDW,RKXRSQGBIBYIUNIGZWGB,511,10/08/2023 23:14,28.92,16927.0,Germany,0.11,499.41,Cash,Store_C,Category_A,RTKLF,QYIWY
IGPJFU,KRHPS,DQBJMOJGGTRTWDFVEFGQ,334,09/17/2023 11:58,71.15,15268.0,United Kingdom,0.04,261.96,Cash,Store_C,Category_C,ZVBUU,RYBLI
JWVCTG,UARHE,,641,10/07/2023 10:30,21.57,10935.0,Belgium,0.11,326.23,Credit Card,Store_A,Category_A,JAJIF,PPPDD
AJYQWB,QJGXR,FHWQZBDJBXYRLQGKHZDS,872,04/12/2023 01:14,2.18,19933.0,France,0.22,342.66,Online,Store_C,Category_C,HNGKY,QPJXP
MNWVDP,YATZS,BDQUBWMFOVAOXRFYSWQC,14,06/06/2023 12:34,27.54,12163.0,Belgium,0.09,342.62,Cash,Store_B,Category_A,ULOQB,CVMNK
QGVBGI,ZNXAU,,722,01/04/2023 04:54,0.9,16286.0,Netherlands,0.0,121.12,Online,Store_B,Category_A,XGDSI,ZOTPS
XXRIWG,EXPFQ,HEUZLGECRZOAWCGDQKJS,957,06/13/2023 23:42,78.07,17273.0,Germany,0.05,461.05,Cash,Store_C,Category_C,,
AEFFDI,IJHIV,BRDSEEPZSMCQXTVECAHD,980,06/02/2023 22:52,84.3,15904.0,Belgium,0.13,208.64,Cash,Store_B,Category_B,JZFUS,XSJOY
BWGOYL,,TBWWBDJULDXOQSNZJWBB,693,10/10/2023 09:20,697.41,15246.0,Netherlands,0.49,415.35,Credit Card,Store_A,Category_C,AXWQL,OGMRX
HCGLME,INCUU,POWVHQWPKCSMAQVAPFPP,454,10/08/2023 11:23,96.4,15456.0,United Kingdom,0.28,335.79,Online,Store_C,Category_C,CBERH,VKAAL
HYAYSO,KVURI,CFHKQESSUZGLLRQLYZUN,846,06/20/2023 10:06,88.97,18924.0,Belgium,0.25,126.57,Online,Store_A,Category_C,DRQPP,USPYS
QXROBR,AWNCU,DSQPPFTLUQQTXWODAZWP,237,02/09/2023 22:18,31.29,10638.0,Germany,0.37,66.1,Credit Card,Store_B,Category_B,DICVZ,FNSOQ
QATFGO,MWVNI,LHCCFXZBIQQCKQRLWKQE,330,03/11/2023 13:16,19.98,18534.0,Belgium,0.08,30.13,Online,Store_B,Category_C,CNMPW,XQZXQ
LSIHFL,GEVYS,MHBXLDOSJGXILTGTWJUH,494,02/17/2023 09:36,52.04,14977.0,United Kingdom,0.5,51.92,Credit Card,Store_C,Category_A,,CIZTF
XFHPHS,,OTJJKTSMYEUUTLUFNIAC,265,11/28/2023 00:48,35.04,12028.0,France,0.32,141.58,Credit Card,Store_A,Category_A,ZVRPM,
YCCVVE,,VXHBLNMUBTDHJYZBHMIE,540,06/01/2023 12:59,0.68,15187.0,United Kingdom,0.05,349.21,Cash,Store_A,Category_A,WEFQP,QHXGO
LIRIAN,NPMYK,TRAXOUSBCBWKCWYRFHFP,923,07/30/2023 21:36,69.55,10435.0,Netherlands,0.39,438.66,Cash,Store_B,Category_B,QCXDC,HMKPW
QZYZLN,KZRJL,LDREALOFVKOEXJGAZHKB,974,09/10/2023 22:39,25.51,10111.0,France,0.04,202.89,Cash,Store_C,Category_C,,DRPPT
XAWVPK,AMMFZ,VNKERMYMKJTZWWRBZMNG,325,11/05/2023 01:52,53.73,10143.0,Netherlands,0.13,74.49,Cash,Store_B,Category_B,VLPXV,OTAFX
,WMZCJ,FSUHZNAHCLVRIXFDNSQZ,636,08/27/2023 00:34,14.8,16886.0,Germany,0.14,234.93,Online,Store_B,Category_B,RVBHS,DCKKB
MCUOXZ,,GSCPXIDUHWMXTUUVPHGA,665,10/19/2023 11:43,599.62,13461.0,Belgium,0.01,156.88,Credit Card,Store_A,Category_A,ETVGZ,RRLMI
KAJIHA,XECUU,QUDXGNQBKRPISLDLAODM,481,10/05/2023 01:05,56.89,15406.0,France,0.07,496.11,Credit Card,Store_A,Category_A,,TMAGD
SBATBC,NGMPY,SEUGPQVNMUWVSZLITQSF,797,07/29/2023 12:40,70.38,17773.0,United Kingdom,0.37,355.0,Credit Card,Store_C,Category_C,VUFBB,GAFGL
FGIKSM,VXOAZ,HFXHSOIBMTIPZFRRORAD,475,07/11/2023 14:40,116.84,17027.0,Netherlands,0.41,173.82,Online,Store_A,Category_A,MMKYO,HDZSI
QKRPFG,BYGRZ,CKIDKBYUBMYIPLXGDIAN,342,02/15/2023 05:10,61.85,10327.0,France,0.48,82.1,Cash,Store_B,Category_C,XPALR,XOKHT
LUVHXO,HRBKY,NLEEEDFRRIWPGNBLLWFM,487,08/22/2023 03:45,8.07,14370.0,France,0.03,30.73,Cash,Store_A,Category_A,MVWII,YAZPP
NJGRXC,FTEZK,QCDRLJWHSBXUTJZKHPYA,307,01/02/2023 01:57,67.4,15575.0,Germany,0.25,220.51,Online,Store_B,Category_C,CBWXC,XGSGK
NBRLKR,EECYE,PAVZDAAWZKZXPJJVJRDQ,52,09/25/2023 07:53,51.67,17377.0,Belgium,0.11,171.95,Online,Store_B,Category_B,OUKGD,POUYZ
QATEFY,KTAWH,DMBAFCYWJWTGEITOGXVM,4837,01/06/2023 04:25,29.81,16007.0,France,0.17,2.61,Online,Store_C,Category_A,PBXUF,CCIXT
EHMHWZ,OKMVG,LNSCYOLHJSODEJOTRXMI,649,09/03/2023 10:25,86.64,10295.0,Germany,0.48,135.51,Online,Store_B,Category_A,EIYWB,ZVLNS
TIMRNB,BXOYR,DNTFPWPBFMMAHUJUZCPE,660,05/29/2023 16:51,48.39,15556.0,Germany,0.1,133.96,Credit Card,Store_C,Category_B,AXIJE,GWMDR
,SBBMC,RPASZDZBAORCMLHPZCDM,334,07/26/2023 08:27,75.02,17149.0,France,0.23,212.5,Cash,Store_A,Category_B,,JQNXE
MMXNUI,,KUARWTMLZKQKTPMNNZQN,446,08/01/2023 20:00,36.68,15788.0,United Kingdom,0.04,457.8,Online,Store_C,Category_A,QGWOQ,FUNPG
,,,323,08/27/2023 02:54,59.33,,Germany,0.12,162.07,Cash,Store_B,Category_B,LOWXS,
ZGCXIT,DPODU,PHHAEYFXVHBMMRMBFBGR,546,01/01/2023 09:35,43.27,19376.0,Germany,0.17,139.42,Credit Card,Store_A,Category_C,DPPND,LYNCT
TCFMKB,UWVYE,SWVBOKSAMWWUPHGIALBI,444,11/01/2023 01:44,1.49,17701.0,United Kingdom,0.46,340.71,Cash,Store_A,Category_B,LPJGJ,TORJV
FYOIBY,IWXCH,JDKYONDQPYYIXAHNZGTG,539,01/14/2023 15:23,18.67,13712.0,Germany,0.07,152.51,Cash,Store_C,Category_C,VBZYH,CAPFP
AIMLXB,GNTWA,YNWFMTFKZLGKUDCLTFRZ,756,08/25/2023 08:21,85.73,,Netherlands,0.14,395.76,Online,Store_A,Category_A,KOFWI,CZSPJ
QHOACB,RYHVN,COJDPPTKTSRDCIWOQINX,740,12/27/2023 07:44,84.91,10606.0,United Kingdom,0.19,413.29,Online,Store_B,Category_C,GADJU,NDSYP
BGAOQU,SDJIY,,407,12/10/2023 09:31,64.19,15719.0,Germany,0.11,147.12,Cash,Store_C,Category_A,AKNQO,KIQQB
PQNJIB,HDZKT,MDNJUJKXWNBNFBUMASFH,881,09/29/2023 02:32,37.13,15441.0,Belgium,0.18,340.9,Online,Store_A,Category_B,,PFLSL
MILEUF,HHZVQ,JKHVKWNKHQFHFPZZKDDT,195,02/06/2023 07:33,45.36,15819.0,United Kingdom,0.42,5.11,Credit Card,Store_A,Category_C,KDDKI,PFZVO
NEIOIY,ZRIWW,XWDQWELMQUZVWPSTYIEZ,822,12/11/2023 16:37,688.68,15460.0,Belgium,0.39,267.81,Online,Store_A,Category_C,,AYJMV
YKFTVT,ZJVPV,GTAMYADQZXYURCGGVTCD,793,09/19/2023 13:20,48.07,13446.0,Netherlands,0.06,137.94,Credit Card,Store_C,Category_B,ARFDS,PHORV
KSOTWQ,WRGEV,TOTGODNKUPEXATMIJFEQ,935,09/13/2023 17:06,29.37,14758.0,United Kingdom,0.24,63.75,Online,Store_C,Category_A,JTRZS,OAOAX
EJOHTI,ULTFW,SYRTOEOYLYIFAUYTTHXA,178,08/16/2023 02:43,99.82,12705.0,United Kingdom,0.1,267.77,Online,Store_A,Category_B,,LDUYB
,MZRCV,MKBRDVVFROVOICGSJZPV,888,07/01/2023 00:14,73.8,14394.0,Belgium,0.36,353.79,Credit Card,Store_A,Category_A,CHEOU,GMMHJ
TIIVVC,SYEEQ,OYCCEBPZTCZBRQPIYLFP,240,10/23/2023 00:03,13.84,12575.0,Netherlands,0.05,436.65,Credit Card,Store_C,Category_C,LXBLT,PXUDP
APWNIN,AQORJ,TLTDRFTWYAJETIMUWYJE,132,04/01/2023 15:33,84.36,17882.0,Germany,0.31,289.28,Cash,Store_C,Category_A,ZLXRB,TIOJZ
LWQNPU,GPVKO,APKCBZHOCBEQFNMKMSGN,638,03/02/2023 19:30,14.48,18563.0,France,0.46,331.06,Cash,Store_B,Category_A,GEIKD,CDBJM
CTNVPU,DJDMZ,NHFEDNNAVDJVKQPXVNGE,89,04/17/2023 17:57,3.19,15812.0,Germany,0.2,293.84,Online,Store_A,Category_C,FTOHJ,INMQR
MEANFB,SVVRH,,4816,12/06/2023 22:44,1.9,18147.0,United Kingdom,0.11,71.94,Cash,Store_A,Category_B,ANALM,DIQQZ
,,YTSGAVMXKYDUMOLYMARN,143,02/12/2023 03:30,17.93,11119.0,France,0.1,23.42,Cash,Store_C,Category_B,YREEY,NTEKB
SGCHAP,PWGCM,QZCPCPVPFAQDKVISAYDG,885,12/11/2023 19:34,94.01,12992.0,Netherlands,0.32,84.2,Online,Store_A,Category_A,GVVHY,PKJJE
FJXFLD,MIFYM,SGHRGPWYUQAODASXFNTH,621,11/30/2023 18:52,24.43,11656.0,Belgium,0.36,234.13,Online,Store_A,Category_C,OMRZL,KKUZP
AIDJAW,NASYM,EXSCBJYAVWOZWHBKSSZB,264,10/04/2023 12:11,74.16,19122.0,Netherlands,0.15,10.56,Cash,Store_B,Category_A,WEFDO,HDGEX
IGGAEP,GWUBR,LLAUMPKDBYCAKUZLESPN,2618,10/11/2023 22:13,50.37,15289.0,Germany,0.33,205.36,Cash,Store_A,Category_B,PZGCG,UEBOU
ZPUDRE,RMEVX,MRDNBRHDYRYLEBHOYALC,882,01/03/2023 12:32,90.33,17767.0,France,0.35,210.42,Online,Store_C,Category_A,SKMLZ,YNUBW
IKONLB,KROTR,MMJYOZUIMUBIBZLXZKCY,833,10/28/2023 04:27,34.81,17593.0,Belgium,0.45,272.74,Credit Card,Store_B,Category_A,VZUTQ,
OPZDLG,NIQWC,SONDSBXVYYAXXANVQKRR,263,06/11/2023 22:10,93.3,10851.0,Germany,0.36,48.39,Cash,Store_C,Category_A,JRFSQ,WUUPT
HIXFKF,TSWMS,TLCRXBOUOGSTGLHJDUOZ,387,10/01/2023 23:46,79.34,16985.0,United Kingdom,0.3,481.99,Online,Store_B,Category_C,GOTJN,ECKUC
LDMJOD,CMUHL,ACBGINPCLWOREISGFXGR,84,02/14/2023 04:45,94.05,12693.0,Netherlands,0.22,387.98,Credit Card,Store_A,Category_C,,FTPXG
PPZKCE,VTCRT,MGRQAGXCERQNFITFSSVP,584,02/03/2023 05:34,64.9,,Belgium,0.26,272.69,Cash,Store_C,Category_C,JSLBP,SRVSN
,CILRQ,UORGCYGTHEWVZIGCGDJD,596,12/21/2023 23:03,41.95,11637.0,Germany,0.22,218.03,Cash,Store_B,Category_C,,AEGJT
UQYSPQ,SBMWS,PQCPZRTIMXLVPOVNGDYM,796,11/05/2023 21:14,46.14,18612.0,France,0.02,99.87,Credit Card,Store_C,Category_B,APQKM,VLDDT
YZBZFQ,BMLCT,CBRHALNADUONLYUFTTIL,4324,07/14/2023 23:19,67.67,11241.0,United Kingdom,0.2,323.56,Credit Card,Store_B,Category_B,SWESD,JUBQE
NTLERU,WVEJG,MPRQZFVHZVVSYFZVPNOG,322,02/16/2023 05:37,15.17,18380.0,France,0.45,120.08,Credit Card,Store_C,Category_A,IIWSR,JWAKK
JOGDXJ,MQXEP,XABWCYPMMCEXLUFCREFR,450,02/11/2023 22:00,89.03,16450.0,Netherlands,0.13,282.3,Credit Card,Store_C,Category_A,OVKBP,RUKHA
NSRJYD,ZUVNT,LUXJNZRTOYPVRFCGZAZQ,111,11/11/2023 22:34,1.49,10865.0,Belgium,0.03,262.17,Credit Card,Store_C,Category_C,ZECMX,INXII
,SJZIB,OUTKZJDEUJWKTVGRXXEM,591,10/21/2023 14:46,98.35,10874.0,Germany,0.22,493.64,Online,Store_B,Category_A,LTGWS,CPBBD
,,OMBJGOZJPSWHMDHUYMHM,864,10/03/2023 10:25,29.83,10810.0,Netherlands,0.44,496.44,Online,Store_C,Category_C,SKIRF,LXTPA
,,SHLTXWJODIPICPZUUPTE,328,07/18/2023 20:37,33.67,11858.0,Germany,0.46,155.33,Online,Store_C,Category_C,FVYKV,
ELZGPL,NJWMW,BXJDJZJKLWFYNIKWJVIQ,156,03/05/2023 14:14,26.8,15020.0,France,0.31,354.81,Credit Card,Store_A,Category_B,BJDLY,YYGQZ
CSQCLO,QRDSW,TGEVQOKXSNLLBRAJCKNU,944,03/13/2023 08:36,221.41,12715.0,Germany,0.28,473.52,Credit Card,Store_A,Category_B,,BVEMG
,,PPKRCLJCOQGPUYAUMTLC,101,04/27/2023 12:47,72.29,12603.0,France,0.47,222.57,Online,Store_B,Category_A,QKCBF,HYKWV
OFNZDN,CKRDC,QZNGOZLIIDRSITBOKQEO,2342,12/11/2023 10:16,15.41,19034.0,France,0.31,264.15,Cash,Store_A,Category_A,UGNGX,RCHTP
XDFJTN,DFEMV,IMKBXNPYJEIWFEAJSNFN,425,10/03/2023 07:20,59.88,13917.0,United Kingdom,0.43,309.77,Online,Store_B,Category_B,KDPBC,UQWMX
,JCADT,DAFEDTRTVRBANNGANYHU,786,01/18/2023 04:14,21.88,11460.0,Netherlands,0.47,249.72,Cash,Store_A,Category_A,VWHAY,PLNME
XCLLOG,MKUWK,ZVQNGGHQWXMVJMVZZFUR,782,11/30/2023 03:41,0.17,19813.0,United Kingdom,0.5,423.07,Credit Card,Store_C,Category_C,VTBAO,KHYJQ
ZHUIIG,AOWHC,YDJEQYFSCNCLYBDHDBNC,883,04/29/2023 13:58,87.92,19038.0,Belgium,0.2,72.23,Credit Card,Store_C,Category_B,,
ECXOVD,XYJME,OHPJQVRAVNKBEALVSDWE,460,01/03/2023 11:42,63.79,18424.0,Netherlands,0.37,97.0,Online,Store_A,Category_A,,RHYVZ
DSJOVE,YHWZY,REIKPYDDKJGWARBVIGIC,667,10/11/2023 11:09,550.62,17680.0,Belgium,0.39,206.7,Credit Card,Store_A,Category_A,XQATY,
FOASWC,DSMQT,,630,07/30/2023 12:42,83.59,13972.0,Belgium,0.27,201.33,Cash,Store_B,Category_C,WRHGA,ZCQLD
YCZSWS,SDEDJ,KYOUFXDJLELPBDTZTDVA,801,06/13/2023 05:09,78.35,17481.0,France,0.41,332.41,Credit Card,Store_C,Category_C,TXWRX,
FASPQA,EDWKA,HQULHSVPPXCEQTLCFVOS,776,09/07/2023 06:49,55.42,11252.0,Belgium,0.34,252.64,Credit Card,Store_A,Category_A,MGBCI,WZJJM
XSBTIR,MRIVE,,428,08/13/2023 15:24,37.19,14859.0,Germany,0.25,314.71,Online,Store_B,Category_A,DIAXL,UQEYP
XMIOVF,UUSKY,NSTQZQKFDXCELDHCQUVQ,715,11/17/2023 00:44,98.84,16050.0,United Kingdom,0.01,335.73,Cash,Store_C,Category_A,LVTZQ,QGCCS
JIRPQA,ZJIOX,NTZIFPEOAXWRONZQOUTB,932,08/25/2023 16:46,23.24,15625.0,France,0.48,161.21,Cash,Store_B,Category_B,MANDL,NRDCD
CUIHCG,HXOAY,RHBJKPVXENHADEZFQRJP,205,09/17/2023 02:46,92.81,11983.0,Germany,0.29,416.15,Cash,Store_A,Category_C,ODSWG,RUOKK
RQNQOK,ZETVK,VPQPKNWLEGVAPGEDGWWP,973,05/26/2023 20:20,50.61,,Netherlands,0.23,491.66,Credit Card,Store_C,Category_B,HCGVG,PJAID
PAHUGQ,JOOYM,GFTASMQDMZVPZQMDBCSK,653,03/23/2023 01:50,11.25,19000.0,Belgium,0.09,178.08,Credit Card,Store_B,Category_C,IBFKC,BUTCJ
LWHYJW,MZMPC,EDRYEIZFNCKOMRUUUHBX,701,09/13/2023 21:44,44.42,17012.0,Netherlands,0.05,440.69,Cash,Store_C,Category_A,GRGUE,XMVNP
RWCTRN,OYCHO,RXIVXGCXQHVEYZYZLFCO,120,10/24/2023 22:09,13.96,10137.0,United Kingdom,0.21,97.04,Online,Store_C,Category_C,ZNNCX,PDHHM
USHNEA,CPVCW,KALSMQCEXGNCSINCDTUZ,794,09/21/2023 20:46,36.04,17387.0,France,0.25,393.37,Online,Store_A,Category_A,RKQKZ,JHNWV
EPLVEL,CKSNQ,KIQJRMDGVZDHFRGVXUQZ,340,07/28/2023 13:58,950.97,17175.0,United Kingdom,0.28,376.71,Credit Card,Store_C,Category_A,NDVSF,QGDSB
GVHPSK,VBMIW,UNNORQGVKZLTVSLHIBJS,539,06/25/2023 22:39,45.15,17540.0,Germany,0.32,451.92,Credit Card,Store_B,Category_A,RIONU,HOVOM
NLEPNU,UVBPY,COKVCWFWKNXKFCARTIEH,4789,10/19/2023 17:01,33.75,18073.0,Belgium,0.11,146.84,Credit Card,Store_B,Category_B,GQVLS,NUTLA
CHUTIB,ZAZPA,TXBVNAFAVRBKRKFSOVIJ,774,05/06/2023 16:24,275.36,14896.0,Netherlands,0.1,326.45,Cash,Store_A,Category_B,QSTZT,HIMXZ
TPLAEE,BSHJE,FVGEMPTZHRLTRWSBUNMM,373,04/25/2023 00:49,41.85,11484.0,Belgium,0.09,417.75,Credit Card,Store_C,Category_A,IUNQX,
ZIOIJM,BETVY,WWKLPHUPVGYECTXMSDQH,249,01/31/2023 06:31,88.18,17348.0,Belgium,0.38,198.3,Credit Card,Store_A,Category_C,SMLBB,ZUFIE
XCJBBF,ESUSH,AHXZURKGOKCVQAODAWXC,948,09/13/2023 06:45,69.04,10207.0,Germany,0.29,245.33,Online,Store_A,Category_B,VMSLH,PRIIZ
PAOWYI,OECVA,ZZWMFZABJKGJXLBTNYOB,293,04/24/2023 05:07,80.52,10550.0,Netherlands,0.42,144.27,Credit Card,Store_B,Category_C,ZQDWW,
KLJXIT,THTXX,CLOTTEYHFQCIXGNMDOJG,261,02/05/2023 14:23,58.48,14971.0,United Kingdom,0.15,214.46,Cash,Store_B,Category_A,NCAVD,
XZDQLC,RTFXD,VKNCUQPJNKNZIFKQJRTO,440,07/19/2023 13:45,26.16,12528.0,Germany,0.04,123.15,Online,Store_C,Category_A,,LFHQH
GBFCOY,IPSSQ,IMMUDSOBRQJBAGKZOZZN,278,08/09/2023 13:06,50.3,11499.0,United Kingdom,0.01,42.68,Online,Store_B,Category_C,JJNZI,TGMAU
EOOCXW,BPMBM,CVYSFJMTDUEMKMJHHWUX,340,05/13/2023 21:42,92.56,14563.0,Germany,0.39,135.3,Online,Store_A,Category_B,HRPLO,LONWS
ZDBKMG,ITFLU,AMJAISQRQRMXVDWTGLHF,529,01/24/2023 04:05,18.33,12175.0,Netherlands,0.43,67.65,Online,Store_A,Category_A,IPJMW,NOUSI
WFFSUJ,ZJRJV,XYMPBJYIFIUTKEKACWOY,891,07/06/2023 15:55,73.69,10398.0,France,0.33,79.24,Cash,Store_C,Category_A,CYWLU,XFAET
PLKYNF,DKKYO,PZZBFKAUCLZNTHTJEQOY,264,08/24/2023 17:02,25.49,19067.0,France,0.35,453.86,Cash,Store_C,Category_A,WSSUT,JNJMB
KRWFZA,HTLNA,MTVQNZZGXDHXEGVBBWPU,1737,08/11/2023 17:42,74.3,,France,0.36,332.31,Credit Card,Store_C,Category_A,JDXFC,BWCMK
CGPIKX,,DSQBKQTDLOGJLSJLHCMQ,680,11/11/2023 12:10,23.07,18819.0,Germany,0.09,296.63,Cash,Store_B,Category_A,NYTAP,ZZOYR
KECIZR,SZAMW,BXHDVOQDULVUHLRBZYYO,2572,08/22/2023 05:55,31.65,10751.0,United Kingdom,0.14,92.77,Online,Store_C,Category_C,,
MHWWBQ,LOPPE,HCTFWEUKFQUVCZWRHSUZ,641,06/08/2023 17:07,34.8,12409.0,Germany,0.02,315.91,Cash,Store_A,Category_A,AZCES,VNFXN
UONZPM,WUIFR,HHPZHFFFTNZLVHOJZCYY,811,04/12/2023 19:57,975.69,15674.0,Germany,0.03,6.31,Cash,Store_C,Category_A,GKISG,QDPND
FQYLDX,WANJO,VLZVRLAPUBTQUKZINDDB,252,05/06/2023 18:22,79.78,17446.0,Germany,0.48,276.02,Cash,Store_C,Category_C,BJWUM,MSYDN
HFGWFO,BFEPF,,995,07/25/2023 17:57,30.6,,Netherlands,0.11,32.63,Online,Store_A,Category_A,IZBNX,
VOOWYZ,PRCZY,RYMMYPNOGMAQERGGYTWY,989,08/04/2023 09:23,12.67,14164.0,Netherlands,0.1,461.2,Online,Store_C,Category_B,WZECZ,KYAQQ
WZTCOB,TJURJ,DDPAKTHSVLCJZVVWDWKO,868,12/02/2023 01:40,30.15,16540.0,Netherlands,0.48,360.58,Online,Store_A,Category_C,XXYEG,JBLZS
NZRADZ,DQWER,IXUTOVZGLTVTCNDJGJTY,424,10/23/2023 16:38,2.9,17301.0,Netherlands,0.21,405.52,Cash,Store_A,Category_C,QNPPQ,
XMLCRN,,OSEIMOWHNVNTKCMHDDNF,54,04/25/2023 14:30,59.66,18597.0,Belgium,0.28,125.05,Online,Store_C,Category_C,LIWZT,CHPUW
UDTBZG,ENGEI,RHCUKZNKFYNRWBPABYPW,283,05/18/2023 01:12,3.04,,Netherlands,0.22,410.74,Cash,Store_B,Category_C,GXQBQ,PZDWA
CSZLVP,ZQVXX,LDKJWLTEKRGMKBFDQVVH,421,06/08/2023 13:08,97.91,16041.0,Netherlands,0.0,406.69,Online,Store_A,Category_A,JZTFZ,XKRCF
PNKMKJ,JITAI,SSRZKKYGSAIZYROEGJIR,452,02/06/2023 12:25,9.17,12606.0,United Kingdom,0.49,58.79,Credit Card,Store_A,Category_A,VDVMR,DLIFH
VRYRMV,VSYCQ,ASNMSGHZGBJAUWUNZZNC,843,02/14/2023 07:23,21.22,16788.0,United Kingdom,0.36,90.64,Credit Card,Store_A,Category_A,EGNGK,ABJTA
QQRARU,EYFVP,WSJCNWLQUYOBIOAXWYUW,53,06/12/2023 06:31,32.46,14234.0,Belgium,0.46,347.23,Credit Card,Store_A,Category_C,LKENK,UXFCP
,,NDIZRKZFPSTRGOWYTJAX,127,04/07/2023 01:51,84.26,18434.0,France,0.03,210.71,Cash,Store_C,Category_A,UKVJV,FQXBO
ZWPJPN,ZHROG,,496,10/13/2023 14:00,93.79,13124.0,France,0.15,428.59,Cash,Store_C,Category_A,CTIRA,EKBIO
XOXBKI,BZCAI,NXWMSGOROHKAEUOQWIAQ,915,10/06/2023 00:33,58.9,11207.0,France,0.35,53.47,Online,Store_B,Category_B,TPUCV,YNAWX
